secret_word,game_result,guess_num,guess_word,feedback,entropy_score,possibilities_before_guess,possibilities_after_filter
admin,4 guesses,3,aback,GBBBB,2.0,4,1
admin,4 guesses,4,admin,GGGGG,0.0,1,1
admit,4 guesses,1,raise,BYYBB,-1.0,2315,38
admit,4 guesses,2,until,BBYGB,4.113206053476118,38,3
admit,4 guesses,3,aback,GBBBB,1.5849625007211559,3,1
admit,4 guesses,4,admit,GGGGG,0.0,1,1
adobe,4 guesses,1,raise,BYBBG,-1.0,2315,35
adobe,4 guesses,2,bland,YBYBY,3.932874360347045,35,2
adobe,4 guesses,3,aback,GYBBB,1.0,2,1
adobe,4 guesses,4,adobe,GGGGG,0.0,1,1
adopt,3 guesses,1,raise,BYBBB,-1.0,2315,110
adopt,3 guesses,2,clout,BBGBG,4.954906391519346,110,1
adopt,3 guesses,3,adopt,GGGGG,0.0,1,1
adore,4 guesses,1,raise,YYBBG,-1.0,2315,25
adore,4 guesses,2,track,BYYBB,3.127210311338979,25,3
adore,4 guesses,3,abbot,GBBYB,1.5849625007211559,3,1
adore,4 guesses,4,adore,GGGGG,0.0,1,1
adorn,3 guesses,1,raise,YYBBB,-1.0,2315,84
adorn,3 guesses,2,crowd,BYGBY,4.299124740447479,84,1
adorn,3 guesses,3,adorn,GGGGG,0.0,1,1
adult,3 guesses,1,raise,BYBBB,-1.0,2315,110
adult,3 guesses,2,clout,BYBYG,4.954906391519346,110,1
adult,3 guesses,3,adult,GGGGG,0.0,1,1
affix,4 guesses,1,raise,BYYBB,-1.0,2315,38
affix,4 guesses,2,until,BBBGB,4.113206053476118,38,4
affix,4 guesses,3,abhor,GBBBB,2.0,4,1
affix,4 guesses,4,affix,GGGGG,0.0,1,1
afire,2 guesses,1,raise,YYGBG,-1.0,2315,1
afire,2 guesses,2,afire,GGGGG,0.0,1,1
afoot,4 guesses,1,raise,BYBBB,-1.0,2315,110
afoot,4 guesses,2,clout,BBYBG,4.954906391519346,110,2
afoot,4 guesses,3,aback,GBBBB,1.0,2,1
afoot,4 guesses,4,afoot,GGGGG,0.0,1,1
afoul,3 guesses,1,raise,BYBBB,-1.0,2315,110
afoul,3 guesses,2,clout,BYGGB,4.954906391519346,110,1
afoul,3 guesses,3,afoul,GGGGG,0.0,1,1
after,4 guesses,1,raise,YYBBY,-1.0,2315,37
after,4 guesses,2,bleat,BBYYY,3.830546608638305,37,4
after,4 guesses,3,agora,GBBYB,2.0,4,1
after,4 guesses,4,after,GGGGG,0.0,1,1
again,4 guesses,1,raise,BYYBB,-1.0,2315,38
again,4 guesses,2,until,BYBGB,4.113206053476118,38,4
again,4 guesses,3,aback,GBGBB,2.0,4,1
again,4 guesses,4,again,GGGGG,0.0,1,1
agape,4 guesses,1,raise,BYBBG,-1.0,2315,35
agape,4 guesses,2,bland,BBYBB,3.932874360347045,35,6
agape,4 guesses,3,adapt,GBGGB,2.2516291673878226,6,1
agape,4 guesses,4,agape,GGGGG,0.0,1,1
agate,4 guesses,1,raise,BYBBG,-1.0,2315,35
agate,4 guesses,2,bland,BBYBB,3.932874360347045,35,6
agate,4 guesses,3,adapt,GBGBY,2.2516291673878226,6,1
agate,4 guesses,4,agate,GGGGG,0.0,1,1
agent,4 guesses,1,raise,BYBBY,-1.0,2315,75
agent,4 guesses,2,dealt,BYYBG,4.648214191242758,75,3
agent,4 guesses,3,aback,GBBBB,1.5849625007211559,3,1
agent,4 guesses,4,agent,GGGGG,0.0,1,1
agile,3 guesses,1,raise,BYGBG,-1.0,2315,5
agile,3 guesses,2,ankle,GBBGG,2.321928094887362,5,1
agile,3 guesses,3,agile,GGGGG,0.0,1,1
aging,3 guesses,1,raise,BYGBB,-1.0,2315,10
aging,3 guesses,2,along,GBBGY,3.321928094887362,10,1
aging,3 guesses,3,aging,GGGGG,0.0,1,1
aglow,4 guesses,1,raise,BYBBB,-1.0,2315,110
aglow,4 guesses,2,clout,BYYBB,4.954906391519346,110,10
aglow,4 guesses,3,folly,BYGBB,3.1219280948873624,10,1
aglow,4 guesses,4,aglow,GGGGG,0.0,1,1
agony,4 guesses,1,raise,BYBBB,-1.0,2315,110
agony,4 guesses,2,clout,BBGBB,4.954906391519346,110,2
agony,4 guesses,3,abbey,GBBBG,1.0,2,1
agony,4 guesses,4,agony,GGGGG,0.0,1,1
agora,4 guesses,1,raise,YYBBB,-1.0,2315,84
agora,4 guesses,2,crowd,BYGBB,4.299124740447479,84,3
agora,4 guesses,3,abled,YBBBB,1.5849625007211559,3,1
agora,4 guesses,4,agora,GGGGG,0.0,1,1
agree,4 guesses,1,raise,YYBBY,-1.0,2315,37
agree,4 guesses,2,bleat,BBYYB,3.830546608638305,37,6
agree,4 guesses,3,admin,GBBBB,2.584962500721156,6,1
agree,4 guesses,4,agree,GGGGG,0.0,1,1
ahead,4 guesses,1,raise,BYBBY,-1.0,2315,75
ahead,4 guesses,2,dealt,YYYBB,4.648214191242758,75,3
ahead,4 guesses,3,aback,YBBBB,1.5849625007211559,3,1
ahead,4 guesses,4,ahead,GGGGG,0.0,1,1
aider,2 guesses,1,raise,YYYBY,-1.0,2315,1
aider,2 guesses,2,aider,GGGGG,0.0,1,1
aisle,2 guesses,1,raise,BYYYG,-1.0,2315,1
aisle,2 guesses,2,aisle,GGGGG,0.0,1,1
alarm,3 guesses,1,raise,YYBBB,-1.0,2315,84
alarm,3 guesses,2,crowd,BYBBB,4.299124740447479,84,16
alarm,3 guesses,3,alarm,GGGGG,3.75,16,1
album,3 guesses,1,raise,BYBBB,-1.0,2315,110
album,3 guesses,2,clout,BGBGB,4.954906391519346,110,1
album,3 guesses,3,album,GGGGG,0.0,1,1
alert,3 guesses,1,raise,YYBBY,-1.0,2315,37
alert,3 guesses,2,bleat,BGGYG,3.830546608638305,37,1
alert,3 guesses,3,alert,GGGGG,0.0,1,1
algae,3 guesses,1,raise,BYBBG,-1.0,2315,35
algae,3 guesses,2,bland,BGYBB,3.932874360347045,35,1
algae,3 guesses,3,algae,GGGGG,0.0,1,1
alibi,4 guesses,1,raise,BYYBB,-1.0,2315,38
alibi,4 guesses,2,until,BBBYY,4.113206053476118,38,5
alibi,4 guesses,3,allay,GGBBB,2.321928094887362,5,1
alibi,4 guesses,4,alibi,GGGGG,0.0,1,1
alien,2 guesses,1,raise,BYGBY,-1.0,2315,1
alien,2 guesses,2,alien,GGGGG,0.0,1,1
align,3 guesses,1,raise,BYGBB,-1.0,2315,10
align,3 guesses,2,along,GGBYY,3.321928094887362,10,1
align,3 guesses,3,align,GGGGG,0.0,1,1
alike,3 guesses,1,raise,BYGBG,-1.0,2315,5
alike,3 guesses,2,ankle,GBYYG,2.321928094887362,5,1
alike,3 guesses,3,alike,GGGGG,0.0,1,1
alive,3 guesses,1,raise,BYGBG,-1.0,2315,5
alive,3 guesses,2,ankle,GBBYG,2.321928094887362,5,1
alive,3 guesses,3,alive,GGGGG,0.0,1,1
allay,4 guesses,1,raise,BYBBB,-1.0,2315,110
allay,4 guesses,2,clout,BYBBB,4.954906391519346,110,8
allay,4 guesses,3,manly,BYBYG,3.0,8,1
allay,4 guesses,4,allay,GGGGG,0.0,1,1
alley,4 guesses,1,raise,BYBBY,-1.0,2315,75
alley,4 guesses,2,dealt,BYYYB,4.648214191242758,75,7
alley,4 guesses,3,agent,GBYBB,2.807354922057604,7,1
alley,4 guesses,4,alley,GGGGG,0.0,1,1
allot,3 guesses,1,raise,BYBBB,-1.0,2315,110
allot,3 guesses,2,clout,BYYBG,4.954906391519346,110,1
allot,3 guesses,3,allot,GGGGG,0.0,1,1
allow,4 guesses,1,raise,BYBBB,-1.0,2315,110
allow,4 guesses,2,clout,BYYBB,4.954906391519346,110,10
allow,4 guesses,3,folly,BYYBB,3.1219280948873624,10,1
allow,4 guesses,4,allow,GGGGG,0.0,1,1
alloy,4 guesses,1,raise,BYBBB,-1.0,2315,110
alloy,4 guesses,2,clout,BYYBB,4.954906391519346,110,10
alloy,4 guesses,3,folly,BYYBG,3.1219280948873624,10,1
alloy,4 guesses,4,alloy,GGGGG,0.0,1,1
aloft,4 guesses,1,raise,BYBBB,-1.0,2315,110
aloft,4 guesses,2,clout,BGGBG,4.954906391519346,110,4
aloft,4 guesses,3,beefy,BBBGB,2.0,4,1
aloft,4 guesses,4,aloft,GGGGG,0.0,1,1
alone,3 guesses,1,raise,BYBBG,-1.0,2315,35
alone,3 guesses,2,bland,BGYGB,3.932874360347045,35,1
alone,3 guesses,3,alone,GGGGG,0.0,1,1
along,3 guesses,1,raise,BYBBB,-1.0,2315,110
along,3 guesses,2,clout,BGGBB,4.954906391519346,110,1
along,3 guesses,3,along,GGGGG,0.0,1,1
aloof,3 guesses,1,raise,BYBBB,-1.0,2315,110
aloof,3 guesses,2,clout,BGYBB,4.954906391519346,110,1
aloof,3 guesses,3,aloof,GGGGG,0.0,1,1
aloud,3 guesses,1,raise,BYBBB,-1.0,2315,110
aloud,3 guesses,2,clout,BGGGB,4.954906391519346,110,1
aloud,3 guesses,3,aloud,GGGGG,0.0,1,1
alpha,4 guesses,1,raise,BYBBB,-1.0,2315,110
alpha,4 guesses,2,clout,BGBBB,4.954906391519346,110,8
alpha,4 guesses,3,aback,YBBBB,2.75,8,1
alpha,4 guesses,4,alpha,GGGGG,0.0,1,1
altar,4 guesses,1,raise,YYBBB,-1.0,2315,84
altar,4 guesses,2,crowd,BYBBB,4.299124740447479,84,16
altar,4 guesses,3,alarm,YGBYB,3.75,16,1
altar,4 guesses,4,altar,GGGGG,0.0,1,1
alter,3 guesses,1,raise,YYBBY,-1.0,2315,37
alter,3 guesses,2,bleat,BGYYY,3.830546608638305,37,1
alter,3 guesses,3,alter,GGGGG,0.0,1,1
amass,4 guesses,1,raise,BYBYB,-1.0,2315,58
amass,4 guesses,2,shalt,YBYBB,4.480837840284,58,3
amass,4 guesses,3,aback,GBGBB,1.5849625007211559,3,1
amass,4 guesses,4,amass,GGGGG,0.0,1,1
amaze,5 guesses,1,raise,BYBBG,-1.0,2315,35
amaze,5 guesses,2,bland,BBYBB,3.932874360347045,35,6
amaze,5 guesses,3,adapt,GBGBB,2.2516291673878226,6,2
amaze,5 guesses,4,aback,GBGBB,1.0,2,1
amaze,5 guesses,5,amaze,GGGGG,0.0,1,1
amber,4 guesses,1,raise,YYBBY,-1.0,2315,37
amber,4 guesses,2,bleat,YBYYB,3.830546608638305,37,2
amber,4 guesses,3,aback,GYBBB,1.0,2,1
amber,4 guesses,4,amber,GGGGG,0.0,1,1
amble,3 guesses,1,raise,BYBBG,-1.0,2315,35
amble,3 guesses,2,bland,YYYBB,3.932874360347045,35,1
amble,3 guesses,3,amble,GGGGG,0.0,1,1
amend,4 guesses,1,raise,BYBBY,-1.0,2315,75
amend,4 guesses,2,dealt,YYYBB,4.648214191242758,75,3
amend,4 guesses,3,aback,GBBBB,1.5849625007211559,3,1
amend,4 guesses,4,amend,GGGGG,0.0,1,1
amiss,2 guesses,1,raise,BYGYB,-1.0,2315,1
amiss,2 guesses,2,amiss,GGGGG,0.0,1,1
amity,3 guesses,1,raise,BYGBB,-1.0,2315,10
amity,3 guesses,2,along,GBBBB,3.321928094887362,10,1
amity,3 guesses,3,amity,GGGGG,0.0,1,1
among,4 guesses,1,raise,BYBBB,-1.0,2315,110
among,4 guesses,2,clout,BBGBB,4.954906391519346,110,2
among,4 guesses,3,abbey,GBBBB,1.0,2,1
among,4 guesses,4,among,GGGGG,0.0,1,1
ample,4 guesses,1,raise,BYBBG,-1.0,2315,35
ample,4 guesses,2,bland,BYYBB,3.932874360347045,35,2
ample,4 guesses,3,admin,GBYBB,1.0,2,1
ample,4 guesses,4,ample,GGGGG,0.0,1,1
amply,4 guesses,1,raise,BYBBB,-1.0,2315,110
amply,4 guesses,2,clout,BYBBB,4.954906391519346,110,8
amply,4 guesses,3,manly,YYBGG,3.0,8,1
amply,4 guesses,4,amply,GGGGG,0.0,1,1
amuse,3 guesses,1,raise,BYBGG,-1.0,2315,5
amuse,3 guesses,2,aback,GBBBB,2.321928094887362,5,1
amuse,3 guesses,3,amuse,GGGGG,0.0,1,1
angel,4 guesses,1,raise,BYBBY,-1.0,2315,75
angel,4 guesses,2,dealt,BYYYB,4.648214191242758,75,7
angel,4 guesses,3,agent,GYYYB,2.807354922057604,7,1
angel,4 guesses,4,angel,GGGGG,0.0,1,1
anger,4 guesses,1,raise,YYBBY,-1.0,2315,37
anger,4 guesses,2,bleat,BBYYB,3.830546608638305,37,6
anger,4 guesses,3,admin,GBBBY,2.584962500721156,6,1
anger,4 guesses,4,anger,GGGGG,0.0,1,1
angle,4 guesses,1,raise,BYBBG,-1.0,2315,35
angle,4 guesses,2,bland,BYYYB,3.932874360347045,35,2
angle,4 guesses,3,aback,GBBBB,1.0,2,1
angle,4 guesses,4,angle,GGGGG,0.0,1,1
angry,4 guesses,1,raise,YYBBB,-1.0,2315,84
angry,4 guesses,2,crowd,BYBBB,4.299124740447479,84,16
angry,4 guesses,3,alarm,GBBGB,3.75,16,1
angry,4 guesses,4,angry,GGGGG,0.0,1,1
angst,3 guesses,1,raise,BYBGB,-1.0,2315,13
angst,3 guesses,2,chalk,BBYBB,3.3927474104487847,13,1
angst,3 guesses,3,angst,GGGGG,0.0,1,1
anime,3 guesses,1,raise,BYGBG,-1.0,2315,5
anime,3 guesses,2,ankle,GGBBG,2.321928094887362,5,1
anime,3 guesses,3,anime,GGGGG,0.0,1,1
ankle,4 guesses,1,raise,BYBBG,-1.0,2315,35
ankle,4 guesses,2,bland,BYYYB,3.932874360347045,35,2
ankle,4 guesses,3,aback,GBBBY,1.0,2,1
ankle,4 guesses,4,ankle,GGGGG,0.0,1,1
annex,4 guesses,1,raise,BYBBY,-1.0,2315,75
annex,4 guesses,2,dealt,BYYBB,4.648214191242758,75,8
annex,4 guesses,3,amend,GBYYB,3.0,8,1
annex,4 guesses,4,annex,GGGGG,0.0,1,1
annoy,4 guesses,1,raise,BYBBB,-1.0,2315,110
annoy,4 guesses,2,clout,BBYBB,4.954906391519346,110,7
annoy,4 guesses,3,admin,GBBBY,2.807354922057604,7,1
annoy,4 guesses,4,annoy,GGGGG,0.0,1,1
annul,4 guesses,1,raise,BYBBB,-1.0,2315,110
annul,4 guesses,2,clout,BYBGB,4.954906391519346,110,2
annul,4 guesses,3,acorn,GBBBY,1.0,2,1
annul,4 guesses,4,annul,GGGGG,0.0,1,1
anode,3 guesses,1,raise,BYBBG,-1.0,2315,35
anode,3 guesses,2,bland,BBYYY,3.932874360347045,35,1
anode,3 guesses,3,anode,GGGGG,0.0,1,1
antic,3 guesses,1,raise,BYYBB,-1.0,2315,38
antic,3 guesses,2,until,BGGGB,4.113206053476118,38,1
antic,3 guesses,3,antic,GGGGG,0.0,1,1
anvil,3 guesses,1,raise,BYYBB,-1.0,2315,38
anvil,3 guesses,2,until,BGBGG,4.113206053476118,38,1
anvil,3 guesses,3,anvil,GGGGG,0.0,1,1
aorta,4 guesses,1,raise,YYBBB,-1.0,2315,84
aorta,4 guesses,2,crowd,BYYBB,4.299124740447479,84,11
aorta,4 guesses,3,motor,BGYBY,3.095795255000934,11,1
aorta,4 guesses,4,aorta,GGGGG,0.0,1,1
apart,4 guesses,1,raise,YYBBB,-1.0,2315,84
apart,4 guesses,2,crowd,BYBBB,4.299124740447479,84,16
apart,4 guesses,3,alarm,GBGGB,3.75,16,1
apart,4 guesses,4,apart,GGGGG,0.0,1,1
aphid,4 guesses,1,raise,BYYBB,-1.0,2315,38
aphid,4 guesses,2,until,BBBGB,4.113206053476118,38,4
aphid,4 guesses,3,abhor,GBGBB,2.0,4,1
aphid,4 guesses,4,aphid,GGGGG,0.0,1,1
aping,3 guesses,1,raise,BYGBB,-1.0,2315,10
aping,3 guesses,2,along,GBBGG,3.321928094887362,10,1
aping,3 guesses,3,aping,GGGGG,0.0,1,1
apnea,4 guesses,1,raise,BYBBY,-1.0,2315,75
apnea,4 guesses,2,dealt,BYYBB,4.648214191242758,75,8
apnea,4 guesses,3,amend,YBYYB,3.0,8,1
apnea,4 guesses,4,apnea,GGGGG,0.0,1,1
apple,4 guesses,1,raise,BYBBG,-1.0,2315,35
apple,4 guesses,2,bland,BYYBB,3.932874360347045,35,2
apple,4 guesses,3,admin,GBBBB,1.0,2,1
apple,4 guesses,4,apple,GGGGG,0.0,1,1
apply,4 guesses,1,raise,BYBBB,-1.0,2315,110
apply,4 guesses,2,clout,BYBBB,4.954906391519346,110,8
apply,4 guesses,3,manly,BYBGG,3.0,8,1
apply,4 guesses,4,apply,GGGGG,0.0,1,1
apron,5 guesses,1,raise,YYBBB,-1.0,2315,84
apron,5 guesses,2,crowd,BYYBB,4.299124740447479,84,11
apron,5 guesses,3,motor,BBBGY,3.095795255000934,11,2
apron,5 guesses,4,aback,GBBBB,1.0,2,1
apron,5 guesses,5,apron,GGGGG,0.0,1,1
aptly,4 guesses,1,raise,BYBBB,-1.0,2315,110
aptly,4 guesses,2,clout,BYBBY,4.954906391519346,110,3
aptly,4 guesses,3,acorn,GBBBB,1.5849625007211559,3,1
aptly,4 guesses,4,aptly,GGGGG,0.0,1,1
arbor,5 guesses,1,raise,YYBBB,-1.0,2315,84
arbor,5 guesses,2,crowd,BYYBB,4.299124740447479,84,11
arbor,5 guesses,3,motor,BBBGY,3.095795255000934,11,2
arbor,5 guesses,4,aback,GYBBB,1.0,2,1
arbor,5 guesses,5,arbor,GGGGG,0.0,1,1
ardor,3 guesses,1,raise,YYBBB,-1.0,2315,84
ardor,3 guesses,2,crowd,BYYBY,4.299124740447479,84,1
ardor,3 guesses,3,ardor,GGGGG,0.0,1,1
arena,4 guesses,1,raise,YYBBY,-1.0,2315,37
arena,4 guesses,2,bleat,BBGYB,3.830546608638305,37,2
arena,4 guesses,3,abbot,YBBBB,1.0,2,1
arena,4 guesses,4,arena,GGGGG,0.0,1,1
argue,3 guesses,1,raise,YYBBG,-1.0,2315,25
argue,3 guesses,2,track,BGYBB,3.127210311338979,25,1
argue,3 guesses,3,argue,GGGGG,0.0,1,1
arise,2 guesses,1,raise,YYGGG,-1.0,2315,1
arise,2 guesses,2,arise,GGGGG,0.0,1,1
armor,4 guesses,1,raise,YYBBB,-1.0,2315,84
armor,4 guesses,2,crowd,BYYBB,4.299124740447479,84,11
armor,4 guesses,3,motor,YBBGY,3.095795255000934,11,1
armor,4 guesses,4,armor,GGGGG,0.0,1,1
aroma,4 guesses,1,raise,YYBBB,-1.0,2315,84
aroma,4 guesses,2,crowd,BGGBB,4.299124740447479,84,2
aroma,4 guesses,3,acorn,YBGYB,1.0,2,1
aroma,4 guesses,4,aroma,GGGGG,0.0,1,1
arose,2 guesses,1,raise,YYBGG,-1.0,2315,1
arose,2 guesses,2,arose,GGGGG,0.0,1,1
array,4 guesses,1,raise,YYBBB,-1.0,2315,84
array,4 guesses,2,crowd,BYBBB,4.299124740447479,84,16
array,4 guesses,3,alarm,YBBYB,3.75,16,1
array,4 guesses,4,array,GGGGG,0.0,1,1
arrow,3 guesses,1,raise,YYBBB,-1.0,2315,84
arrow,3 guesses,2,crowd,BYYYB,4.299124740447479,84,1
arrow,3 guesses,3,arrow,GGGGG,0.0,1,1
arson,3 guesses,1,raise,YYBYB,-1.0,2315,24
arson,3 guesses,2,stamp,YBYBB,3.6216535224393342,24,1
arson,3 guesses,3,arson,GGGGG,0.0,1,1
artsy,3 guesses,1,raise,YYBGB,-1.0,2315,5
artsy,3 guesses,2,batch,BYGBB,2.321928094887362,5,1
artsy,3 guesses,3,artsy,GGGGG,0.0,1,1
ascot,3 guesses,1,raise,BYBYB,-1.0,2315,58
ascot,3 guesses,2,shalt,YBYBG,4.480837840284,58,1
ascot,3 guesses,3,ascot,GGGGG,0.0,1,1
ashen,4 guesses,1,raise,BYBYY,-1.0,2315,12
ashen,4 guesses,2,knelt,BYYBB,3.2516291673878226,12,2
ashen,4 guesses,3,aback,GBBBB,1.0,2,1
ashen,4 guesses,4,ashen,GGGGG,0.0,1,1
aside,2 guesses,1,raise,BYGYG,-1.0,2315,1
aside,2 guesses,2,aside,GGGGG,0.0,1,1
askew,3 guesses,1,raise,BYBYY,-1.0,2315,12
askew,3 guesses,2,knelt,YBYBB,3.2516291673878226,12,1
askew,3 guesses,3,askew,GGGGG,0.0,1,1
assay,4 guesses,1,raise,BYBYB,-1.0,2315,58
assay,4 guesses,2,shalt,YBYBB,4.480837840284,58,3
assay,4 guesses,3,aback,YBBBB,1.5849625007211559,3,1
assay,4 guesses,4,assay,GGGGG,0.0,1,1
asset,3 guesses,1,raise,BYBYY,-1.0,2315,12
asset,3 guesses,2,knelt,BBYBG,3.2516291673878226,12,1
asset,3 guesses,3,asset,GGGGG,0.0,1,1
atoll,3 guesses,1,raise,BYBBB,-1.0,2315,110
atoll,3 guesses,2,clout,BYGBY,4.954906391519346,110,1
atoll,3 guesses,3,atoll,GGGGG,0.0,1,1
atone,3 guesses,1,raise,BYBBG,-1.0,2315,35
atone,3 guesses,2,bland,BBYGB,3.932874360347045,35,1
atone,3 guesses,3,atone,GGGGG,0.0,1,1
attic,4 guesses,1,raise,BYYBB,-1.0,2315,38
attic,4 guesses,2,until,BBYGB,4.113206053476118,38,3
attic,4 guesses,3,aback,GBBYB,1.5849625007211559,3,1
attic,4 guesses,4,attic,GGGGG,0.0,1,1
audio,3 guesses,1,raise,BYYBB,-1.0,2315,38
audio,3 guesses,2,until,YBBGB,4.113206053476118,38,1
audio,3 guesses,3,audio,GGGGG,0.0,1,1
audit,3 guesses,1,raise,BYYBB,-1.0,2315,38
audit,3 guesses,2,until,YBYGB,4.113206053476118,38,1
audit,3 guesses,3,audit,GGGGG,0.0,1,1
augur,4 guesses,1,raise,YYBBB,-1.0,2315,84
augur,4 guesses,2,crowd,BYBBB,4.299124740447479,84,16
augur,4 guesses,3,alarm,GBBYB,3.75,16,1
augur,4 guesses,4,augur,GGGGG,0.0,1,1
aunty,4 guesses,1,raise,BYBBB,-1.0,2315,110
aunty,4 guesses,2,clout,BBBYY,4.954906391519346,110,2
aunty,4 guesses,3,aback,GBBBB,1.0,2,1
aunty,4 guesses,4,aunty,GGGGG,0.0,1,1
avail,3 guesses,1,raise,BYYBB,-1.0,2315,38
avail,3 guesses,2,until,BBBGG,4.113206053476118,38,1
avail,3 guesses,3,avail,GGGGG,0.0,1,1
avert,3 guesses,1,raise,YYBBY,-1.0,2315,37
avert,3 guesses,2,bleat,BBGYG,3.830546608638305,37,1
avert,3 guesses,3,avert,GGGGG,0.0,1,1
avian,3 guesses,1,raise,BYGBB,-1.0,2315,10
avian,3 guesses,2,along,YBBYB,3.321928094887362,10,1
avian,3 guesses,3,avian,GGGGG,0.0,1,1
avoid,4 guesses,1,raise,BYYBB,-1.0,2315,38
avoid,4 guesses,2,until,BBBGB,4.113206053476118,38,4
avoid,4 guesses,3,abhor,GBBYB,2.0,4,1
avoid,4 guesses,4,avoid,GGGGG,0.0,1,1
await,4 guesses,1,raise,BYYBB,-1.0,2315,38
await,4 guesses,2,until,BBYGB,4.113206053476118,38,3
await,4 guesses,3,aback,GBGBB,1.5849625007211559,3,1
await,4 guesses,4,await,GGGGG,0.0,1,1
