secret_word,starting_word,game_result,guess_num,guess_word,feedback,entropy_score,possibilities_before_guess,possibilities_after_filter
after,raise,3 guesses,2,alert,GBYYY,3.6177276091537856,37,1
after,raise,3 guesses,3,after,GGGGG,0.0,1,1
again,raise,3 guesses,1,raise,BYYBB,-1.0,2315,38
again,raise,3 guesses,2,tidal,BYBYB,4.023471592049353,38,6
again,raise,3 guesses,3,again,GGGGG,2.584962500721156,6,1
agape,raise,4 guesses,1,raise,BYBBG,-1.0,2315,35
agape,raise,4 guesses,2,blade,BBYBG,3.496104175266961,35,7
agape,raise,4 guesses,3,agate,GGGBG,2.521640636343318,7,1
agape,raise,4 guesses,4,agape,GGGGG,0.0,1,1
agate,raise,3 guesses,1,raise,BYBBG,-1.0,2315,35
agate,raise,3 guesses,2,blade,BBYBG,3.496104175266961,35,7
agate,raise,3 guesses,3,agate,GGGGG,2.521640636343318,7,1
agent,raise,4 guesses,1,raise,BYBBY,-1.0,2315,75
agent,raise,4 guesses,2,dealt,BYYBG,4.648214191242758,75,3
agent,raise,4 guesses,3,cheat,BBGYG,1.5849625007211559,3,1
agent,raise,4 guesses,4,agent,GGGGG,0.0,1,1
agile,raise,3 guesses,1,raise,BYGBG,-1.0,2315,5
agile,raise,3 guesses,2,alike,GYGBG,1.9219280948873623,5,1
agile,raise,3 guesses,3,agile,GGGGG,0.0,1,1
aging,raise,3 guesses,1,raise,BYGBB,-1.0,2315,10
aging,raise,3 guesses,2,axion,GBGBY,3.121928094887362,10,2
aging,raise,3 guesses,3,aging,GGGGG,1.0,2,1
aglow,raise,4 guesses,1,raise,BYBBB,-1.0,2315,110
aglow,raise,4 guesses,2,clout,BYYBB,4.954906391519346,110,10
aglow,raise,4 guesses,3,loyal,YYBYB,2.9219280948873623,10,1
aglow,raise,4 guesses,4,aglow,GGGGG,0.0,1,1
agony,raise,3 guesses,1,raise,BYBBB,-1.0,2315,110
agony,raise,3 guesses,2,clout,BBGBB,4.954906391519346,110,2
agony,raise,3 guesses,3,agony,GGGGG,1.0,2,1
agora,raise,3 guesses,1,raise,YYBBB,-1.0,2315,84
agora,raise,3 guesses,2,crowd,BYGBB,4.299124740447479,84,3
agora,raise,3 guesses,3,agora,GGGGG,1.5849625007211559,3,1
agree,raise,3 guesses,1,raise,YYBBY,-1.0,2315,37
agree,raise,3 guesses,2,alert,GBYYB,3.6177276091537856,37,3
agree,raise,3 guesses,3,agree,GGGGG,1.5849625007211559,3,1
ahead,raise,3 guesses,1,raise,BYBBY,-1.0,2315,75
ahead,raise,3 guesses,2,dealt,YYYBB,4.648214191242758,75,3
ahead,raise,3 guesses,3,ahead,GGGGG,1.5849625007211559,3,1
aider,raise,2 guesses,1,raise,YYYBY,-1.0,2315,1
aider,raise,2 guesses,2,aider,GGGGG,0.0,1,1
aisle,raise,2 guesses,1,raise,BYYYG,-1.0,2315,1
aisle,raise,2 guesses,2,aisle,GGGGG,0.0,1,1
alarm,raise,3 guesses,1,raise,YYBBB,-1.0,2315,84
alarm,raise,3 guesses,2,crowd,BYBBB,4.299124740447479,84,16
alarm,raise,3 guesses,3,alarm,GGGGG,3.75,16,1
album,raise,3 guesses,1,raise,BYBBB,-1.0,2315,110
album,raise,3 guesses,2,clout,BGBGB,4.954906391519346,110,1
album,raise,3 guesses,3,album,GGGGG,0.0,1,1
alert,raise,2 guesses,1,raise,YYBBY,-1.0,2315,37
alert,raise,2 guesses,2,alert,GGGGG,3.6177276091537856,37,1
algae,raise,3 guesses,1,raise,BYBBG,-1.0,2315,35
algae,raise,3 guesses,2,blade,BGYBG,3.496104175266961,35,2
algae,raise,3 guesses,3,algae,GGGGG,1.0,2,1
alibi,raise,4 guesses,1,raise,BYYBB,-1.0,2315,38
alibi,raise,4 guesses,2,tidal,BYBYY,4.023471592049353,38,4
alibi,raise,4 guesses,3,claim,BGYYB,2.0,4,1
alibi,raise,4 guesses,4,alibi,GGGGG,0.0,1,1
alien,raise,2 guesses,1,raise,BYGBY,-1.0,2315,1
alien,raise,2 guesses,2,alien,GGGGG,0.0,1,1
align,raise,3 guesses,1,raise,BYGBB,-1.0,2315,10
align,raise,3 guesses,2,axion,GBGBG,3.121928094887362,10,1
align,raise,3 guesses,3,align,GGGGG,0.0,1,1
alike,raise,2 guesses,1,raise,BYGBG,-1.0,2315,5
alike,raise,2 guesses,2,alike,GGGGG,1.9219280948873623,5,1
alive,raise,3 guesses,1,raise,BYGBG,-1.0,2315,5
alive,raise,3 guesses,2,alike,GGGBG,1.9219280948873623,5,1
alive,raise,3 guesses,3,alive,GGGGG,0.0,1,1
allay,raise,4 guesses,1,raise,BYBBB,-1.0,2315,110
allay,raise,4 guesses,2,clout,BYBBB,4.954906391519346,110,8
allay,raise,4 guesses,3,amply,YBBYG,2.75,8,1
allay,raise,4 guesses,4,allay,GGGGG,0.0,1,1
alley,raise,4 guesses,1,raise,BYBBY,-1.0,2315,75
alley,raise,4 guesses,2,dealt,BYYYB,4.648214191242758,75,7
alley,raise,4 guesses,3,angel,GBBGY,2.807354922057604,7,1
alley,raise,4 guesses,4,alley,GGGGG,0.0,1,1
allot,raise,3 guesses,1,raise,BYBBB,-1.0,2315,110
allot,raise,3 guesses,2,clout,BYYBG,4.954906391519346,110,1
allot,raise,3 guesses,3,allot,GGGGG,0.0,1,1
allow,raise,4 guesses,1,raise,BYBBB,-1.0,2315,110
allow,raise,4 guesses,2,clout,BYYBB,4.954906391519346,110,10
allow,raise,4 guesses,3,loyal,YYBYY,2.9219280948873623,10,1
allow,raise,4 guesses,4,allow,GGGGG,0.0,1,1
alloy,raise,4 guesses,1,raise,BYBBB,-1.0,2315,110
alloy,raise,4 guesses,2,clout,BYYBB,4.954906391519346,110,10
alloy,raise,4 guesses,3,loyal,YYYYY,2.9219280948873623,10,1
alloy,raise,4 guesses,4,alloy,GGGGG,0.0,1,1
aloft,raise,3 guesses,1,raise,BYBBB,-1.0,2315,110
aloft,raise,3 guesses,2,clout,BGGBG,4.954906391519346,110,4
aloft,raise,3 guesses,3,aloft,GGGGG,1.5,4,1
alone,raise,4 guesses,1,raise,BYBBG,-1.0,2315,35
alone,raise,4 guesses,2,blade,BGYBG,3.496104175266961,35,2
alone,raise,4 guesses,3,algae,GGBBG,1.0,2,1
alone,raise,4 guesses,4,alone,GGGGG,0.0,1,1
along,raise,3 guesses,1,raise,BYBBB,-1.0,2315,110
along,raise,3 guesses,2,clout,BGGBB,4.954906391519346,110,1
along,raise,3 guesses,3,along,GGGGG,0.0,1,1
aloof,raise,3 guesses,1,raise,BYBBB,-1.0,2315,110
aloof,raise,3 guesses,2,clout,BGYBB,4.954906391519346,110,1
aloof,raise,3 guesses,3,aloof,GGGGG,0.0,1,1
aloud,raise,3 guesses,1,raise,BYBBB,-1.0,2315,110
aloud,raise,3 guesses,2,clout,BGGGB,4.954906391519346,110,1
aloud,raise,3 guesses,3,aloud,GGGGG,0.0,1,1
alpha,raise,4 guesses,1,raise,BYBBB,-1.0,2315,110
alpha,raise,4 guesses,2,clout,BGBBB,4.954906391519346,110,8
alpha,raise,4 guesses,3,bland,BGYBB,2.5,8,2
alpha,raise,4 guesses,4,alpha,GGGGG,1.0,2,1
altar,raise,4 guesses,1,raise,YYBBB,-1.0,2315,84
altar,raise,4 guesses,2,crowd,BYBBB,4.299124740447479,84,16
altar,raise,4 guesses,3,alarm,YGBYB,3.75,16,1
altar,raise,4 guesses,4,altar,GGGGG,0.0,1,1
alter,raise,3 guesses,1,raise,YYBBY,-1.0,2315,37
alter,raise,3 guesses,2,alert,GGYYY,3.6177276091537856,37,1
alter,raise,3 guesses,3,alter,GGGGG,0.0,1,1
amass,raise,4 guesses,1,raise,BYBYB,-1.0,2315,58
amass,raise,4 guesses,2,shalt,YBYBB,4.480837840284,58,3
amass,raise,4 guesses,3,abyss,YBBGG,1.5849625007211559,3,1
amass,raise,4 guesses,4,amass,GGGGG,0.0,1,1
amaze,raise,4 guesses,1,raise,BYBBG,-1.0,2315,35
amaze,raise,4 guesses,2,blade,BBYBG,3.496104175266961,35,7
amaze,raise,4 guesses,3,agate,GBGBG,2.521640636343318,7,2
amaze,raise,4 guesses,4,amaze,GGGGG,1.0,2,1
amber,raise,4 guesses,1,raise,YYBBY,-1.0,2315,37
amber,raise,4 guesses,2,alert,GBYYB,3.6177276091537856,37,3
amber,raise,4 guesses,3,agree,GBYGB,1.5849625007211559,3,1
amber,raise,4 guesses,4,amber,GGGGG,0.0,1,1
amble,raise,3 guesses,1,raise,BYBBG,-1.0,2315,35
amble,raise,3 guesses,2,blade,YYYBG,3.496104175266961,35,1
amble,raise,3 guesses,3,amble,GGGGG,0.0,1,1
amend,raise,4 guesses,1,raise,BYBBY,-1.0,2315,75
amend,raise,4 guesses,2,dealt,YYYBB,4.648214191242758,75,3
amend,raise,4 guesses,3,ahead,GBGBG,1.5849625007211559,3,1
amend,raise,4 guesses,4,amend,GGGGG,0.0,1,1
amiss,raise,2 guesses,1,raise,BYGYB,-1.0,2315,1
amiss,raise,2 guesses,2,amiss,GGGGG,0.0,1,1
amity,raise,3 guesses,1,raise,BYGBB,-1.0,2315,10
amity,raise,3 guesses,2,axion,GBGBB,3.121928094887362,10,1
amity,raise,3 guesses,3,amity,GGGGG,0.0,1,1
among,raise,4 guesses,1,raise,BYBBB,-1.0,2315,110
among,raise,4 guesses,2,clout,BBGBB,4.954906391519346,110,2
among,raise,4 guesses,3,agony,GYGGB,1.0,2,1
among,raise,4 guesses,4,among,GGGGG,0.0,1,1
ample,raise,3 guesses,1,raise,BYBBG,-1.0,2315,35
ample,raise,3 guesses,2,blade,BYYBG,3.496104175266961,35,4
ample,raise,3 guesses,3,ample,GGGGG,1.5,4,1
amply,raise,3 guesses,1,raise,BYBBB,-1.0,2315,110
amply,raise,3 guesses,2,clout,BYBBB,4.954906391519346,110,8
amply,raise,3 guesses,3,amply,GGGGG,2.75,8,1
amuse,raise,3 guesses,1,raise,BYBGG,-1.0,2315,5
amuse,raise,3 guesses,2,abase,GBBGG,1.9219280948873623,5,1
amuse,raise,3 guesses,3,amuse,GGGGG,0.0,1,1
angel,raise,3 guesses,1,raise,BYBBY,-1.0,2315,75
angel,raise,3 guesses,2,dealt,BYYYB,4.648214191242758,75,7
angel,raise,3 guesses,3,angel,GGGGG,2.807354922057604,7,1
anger,raise,4 guesses,1,raise,YYBBY,-1.0,2315,37
anger,raise,4 guesses,2,alert,GBYYB,3.6177276091537856,37,3
anger,raise,4 guesses,3,agree,GYYGB,1.5849625007211559,3,1
anger,raise,4 guesses,4,anger,GGGGG,0.0,1,1
angle,raise,4 guesses,1,raise,BYBBG,-1.0,2315,35
angle,raise,4 guesses,2,blade,BYYBG,3.496104175266961,35,4
angle,raise,4 guesses,3,ample,GBBGG,1.5,4,2
angle,raise,4 guesses,4,angle,GGGGG,1.0,2,1
angry,raise,4 guesses,1,raise,YYBBB,-1.0,2315,84
angry,raise,4 guesses,2,crowd,BYBBB,4.299124740447479,84,16
angry,raise,4 guesses,3,alarm,GBBGB,3.75,16,1
angry,raise,4 guesses,4,angry,GGGGG,0.0,1,1
angst,raise,3 guesses,1,raise,BYBGB,-1.0,2315,13
angst,raise,3 guesses,2,clash,BBYGB,3.238901256602631,13,1
angst,raise,3 guesses,3,angst,GGGGG,0.0,1,1
anime,raise,4 guesses,1,raise,BYGBG,-1.0,2315,5
anime,raise,4 guesses,2,alike,GBGBG,1.9219280948873623,5,2
anime,raise,4 guesses,3,abide,GBGBG,1.0,2,1
anime,raise,4 guesses,4,anime,GGGGG,0.0,1,1
ankle,raise,5 guesses,1,raise,BYBBG,-1.0,2315,35
ankle,raise,5 guesses,2,blade,BYYBG,3.496104175266961,35,4
ankle,raise,5 guesses,3,ample,GBBGG,1.5,4,2
ankle,raise,5 guesses,4,angle,GGBGG,1.0,2,1
ankle,raise,5 guesses,5,ankle,GGGGG,0.0,1,1
annex,raise,4 guesses,1,raise,BYBBY,-1.0,2315,75
annex,raise,4 guesses,2,dealt,BYYBB,4.648214191242758,75,8
annex,raise,4 guesses,3,apnea,GBYGB,2.75,8,1
annex,raise,4 guesses,4,annex,GGGGG,0.0,1,1
annoy,raise,4 guesses,1,raise,BYBBB,-1.0,2315,110
annoy,raise,4 guesses,2,clout,BBYBB,4.954906391519346,110,7
annoy,raise,4 guesses,3,dogma,BYBBY,2.807354922057604,7,1
annoy,raise,4 guesses,4,annoy,GGGGG,0.0,1,1
annul,raise,3 guesses,1,raise,BYBBB,-1.0,2315,110
annul,raise,3 guesses,2,clout,BYBGB,4.954906391519346,110,2
annul,raise,3 guesses,3,annul,GGGGG,1.0,2,1
anode,raise,3 guesses,1,raise,BYBBG,-1.0,2315,35
anode,raise,3 guesses,2,blade,BBYGG,3.496104175266961,35,1
anode,raise,3 guesses,3,anode,GGGGG,0.0,1,1
antic,raise,3 guesses,1,raise,BYYBB,-1.0,2315,38
antic,raise,3 guesses,2,tidal,YYBYB,4.023471592049353,38,3
antic,raise,3 guesses,3,antic,GGGGG,1.5849625007211559,3,1
anvil,raise,3 guesses,1,raise,BYYBB,-1.0,2315,38
anvil,raise,3 guesses,2,tidal,BYBYG,4.023471592049353,38,3
anvil,raise,3 guesses,3,anvil,GGGGG,1.5849625007211559,3,1
aorta,raise,4 guesses,1,raise,YYBBB,-1.0,2315,84
aorta,raise,4 guesses,2,crowd,BYYBB,4.299124740447479,84,11
aorta,raise,4 guesses,3,molar,BGBYY,2.8453509366224368,11,1
aorta,raise,4 guesses,4,aorta,GGGGG,0.0,1,1
apart,raise,4 guesses,1,raise,YYBBB,-1.0,2315,84
apart,raise,4 guesses,2,crowd,BYBBB,4.299124740447479,84,16
apart,raise,4 guesses,3,alarm,GBGGB,3.75,16,1
apart,raise,4 guesses,4,apart,GGGGG,0.0,1,1
aphid,raise,3 guesses,1,raise,BYYBB,-1.0,2315,38
aphid,raise,3 guesses,2,tidal,BYYYB,4.023471592049353,38,3
aphid,raise,3 guesses,3,aphid,GGGGG,1.5849625007211559,3,1
aping,raise,4 guesses,1,raise,BYGBB,-1.0,2315,10
aping,raise,4 guesses,2,axion,GBGBY,3.121928094887362,10,2
aping,raise,4 guesses,3,aging,GBGGG,1.0,2,1
aping,raise,4 guesses,4,aping,GGGGG,0.0,1,1
apnea,raise,3 guesses,1,raise,BYBBY,-1.0,2315,75
apnea,raise,3 guesses,2,dealt,BYYBB,4.648214191242758,75,8
apnea,raise,3 guesses,3,apnea,GGGGG,2.75,8,1
apple,raise,4 guesses,1,raise,BYBBG,-1.0,2315,35
apple,raise,4 guesses,2,blade,BYYBG,3.496104175266961,35,4
apple,raise,4 guesses,3,ample,GBYGG,1.5,4,1
apple,raise,4 guesses,4,apple,GGGGG,0.0,1,1
apply,raise,4 guesses,1,raise,BYBBB,-1.0,2315,110
apply,raise,4 guesses,2,clout,BYBBB,4.954906391519346,110,8
apply,raise,4 guesses,3,amply,GBYGG,2.75,8,1
apply,raise,4 guesses,4,apply,GGGGG,0.0,1,1
apron,raise,4 guesses,1,raise,YYBBB,-1.0,2315,84
apron,raise,4 guesses,2,crowd,BYYBB,4.299124740447479,84,11
apron,raise,4 guesses,3,molar,BYBYY,2.8453509366224368,11,3
apron,raise,4 guesses,4,apron,GGGGG,1.5849625007211559,3,1
aptly,raise,4 guesses,1,raise,BYBBB,-1.0,2315,110
aptly,raise,4 guesses,2,clout,BYBBY,4.954906391519346,110,3
aptly,raise,4 guesses,3,fatal,BYGBY,1.5849625007211559,3,1
aptly,raise,4 guesses,4,aptly,GGGGG,0.0,1,1
arbor,raise,5 guesses,1,raise,YYBBB,-1.0,2315,84
arbor,raise,5 guesses,2,crowd,BYYBB,4.299124740447479,84,11
arbor,raise,5 guesses,3,molar,BYBYY,2.8453509366224368,11,3
arbor,raise,5 guesses,4,apron,GBYGB,1.5849625007211559,3,1
arbor,raise,5 guesses,5,arbor,GGGGG,0.0,1,1
ardor,raise,3 guesses,1,raise,YYBBB,-1.0,2315,84
ardor,raise,3 guesses,2,crowd,BYYBY,4.299124740447479,84,1
ardor,raise,3 guesses,3,ardor,GGGGG,0.0,1,1
arena,raise,4 guesses,1,raise,YYBBY,-1.0,2315,37
arena,raise,4 guesses,2,alert,YBGYB,3.6177276091537856,37,9
arena,raise,4 guesses,3,break,BGGYB,2.1132833342948745,9,1
arena,raise,4 guesses,4,arena,GGGGG,0.0,1,1
argue,raise,3 guesses,1,raise,YYBBG,-1.0,2315,25
argue,raise,3 guesses,2,grace,YGYBG,2.8888840705376353,25,1
argue,raise,3 guesses,3,argue,GGGGG,0.0,1,1
arise,raise,2 guesses,1,raise,YYGGG,-1.0,2315,1
arise,raise,2 guesses,2,arise,GGGGG,0.0,1,1
armor,raise,4 guesses,1,raise,YYBBB,-1.0,2315,84
armor,raise,4 guesses,2,crowd,BYYBB,4.299124740447479,84,11
armor,raise,4 guesses,3,molar,YYBYY,2.8453509366224368,11,1
armor,raise,4 guesses,4,armor,GGGGG,0.0,1,1
aroma,raise,3 guesses,1,raise,YYBBB,-1.0,2315,84
aroma,raise,3 guesses,2,crowd,BGGBB,4.299124740447479,84,2
aroma,raise,3 guesses,3,aroma,GGGGG,1.0,2,1
arose,raise,2 guesses,1,raise,YYBGG,-1.0,2315,1
arose,raise,2 guesses,2,arose,GGGGG,0.0,1,1
array,raise,4 guesses,1,raise,YYBBB,-1.0,2315,84
array,raise,4 guesses,2,crowd,BYBBB,4.299124740447479,84,16
array,raise,4 guesses,3,alarm,YBBYB,3.75,16,1
array,raise,4 guesses,4,array,GGGGG,0.0,1,1
arrow,raise,3 guesses,1,raise,YYBBB,-1.0,2315,84
arrow,raise,3 guesses,2,crowd,BYYYB,4.299124740447479,84,1
arrow,raise,3 guesses,3,arrow,GGGGG,0.0,1,1
arson,raise,4 guesses,1,raise,YYBYB,-1.0,2315,24
arson,raise,4 guesses,2,strap,YBYYB,3.2406015629507228,24,4
arson,raise,4 guesses,3,brass,BGYYB,1.5,4,1
arson,raise,4 guesses,4,arson,GGGGG,0.0,1,1
artsy,raise,3 guesses,1,raise,YYBGB,-1.0,2315,5
artsy,raise,3 guesses,2,brash,BGYGB,1.9219280948873623,5,1
artsy,raise,3 guesses,3,artsy,GGGGG,0.0,1,1
ascot,raise,3 guesses,1,raise,BYBYB,-1.0,2315,58
ascot,raise,3 guesses,2,shalt,YBYBG,4.480837840284,58,1
ascot,raise,3 guesses,3,ascot,GGGGG,0.0,1,1
ashen,raise,3 guesses,1,raise,BYBYY,-1.0,2315,12
ashen,raise,3 guesses,2,steak,YBYYB,3.0220552088742005,12,1
ashen,raise,3 guesses,3,ashen,GGGGG,0.0,1,1
aside,raise,2 guesses,1,raise,BYGYG,-1.0,2315,1
aside,raise,2 guesses,2,aside,GGGGG,0.0,1,1
askew,raise,3 guesses,1,raise,BYBYY,-1.0,2315,12
askew,raise,3 guesses,2,steak,YBYYY,3.0220552088742005,12,1
askew,raise,3 guesses,3,askew,GGGGG,0.0,1,1
assay,raise,4 guesses,1,raise,BYBYB,-1.0,2315,58
assay,raise,4 guesses,2,shalt,YBYBB,4.480837840284,58,3
assay,raise,4 guesses,3,abyss,YBYYY,1.5849625007211559,3,1
assay,raise,4 guesses,4,assay,GGGGG,0.0,1,1
asset,raise,3 guesses,1,raise,BYBYY,-1.0,2315,12
asset,raise,3 guesses,2,steak,YYYYB,3.0220552088742005,12,1
asset,raise,3 guesses,3,asset,GGGGG,0.0,1,1
atoll,raise,3 guesses,1,raise,BYBBB,-1.0,2315,110
atoll,raise,3 guesses,2,clout,BYGBY,4.954906391519346,110,1
atoll,raise,3 guesses,3,atoll,GGGGG,0.0,1,1
atone,raise,4 guesses,1,raise,BYBBG,-1.0,2315,35
atone,raise,4 guesses,2,blade,BBYBG,3.496104175266961,35,7
atone,raise,4 guesses,3,agate,GBBYG,2.521640636343318,7,1
atone,raise,4 guesses,4,atone,GGGGG,0.0,1,1
attic,raise,4 guesses,1,raise,BYYBB,-1.0,2315,38
attic,raise,4 guesses,2,tidal,YYBYB,4.023471592049353,38,3
attic,raise,4 guesses,3,antic,GBYGG,1.5849625007211559,3,1
attic,raise,4 guesses,4,attic,GGGGG,0.0,1,1
audio,raise,3 guesses,1,raise,BYYBB,-1.0,2315,38
audio,raise,3 guesses,2,tidal,BYGYB,4.023471592049353,38,1
audio,raise,3 guesses,3,audio,GGGGG,0.0,1,1
audit,raise,3 guesses,1,raise,BYYBB,-1.0,2315,38
audit,raise,3 guesses,2,tidal,YYGYB,4.023471592049353,38,1
audit,raise,3 guesses,3,audit,GGGGG,0.0,1,1
augur,raise,4 guesses,1,raise,YYBBB,-1.0,2315,84
augur,raise,4 guesses,2,crowd,BYBBB,4.299124740447479,84,16
augur,raise,4 guesses,3,alarm,GBBYB,3.75,16,1
